"model","scenario","variable","SDP","relative_change_iam_variable_pc","total_atkinson_utility_change","global_gini","global_avg_deprivation","global_avg_surplus","AggUtilitarian","Prioritarian","Egalitarian","Sufficientarian","Limitarian"
"GCAM 5.3","R_MAC_55_n0","Final_Energy_Transportation","RC",1.0316781118785,1.30911196915396,0.372267766712531,0,7.73047881602251,"no","yes","no","yes","no"
"GCAM 5.3","R_MAC_55_n8","Final_Energy_Transportation","RC",0.948940392904498,0.51300687117272,0.385085108376862,0,12.4289004265666,"no","yes","no","yes","no"
"GCAM 5.3","R_MAC_60_n0","Final_Energy_Transportation","RC",1.06545799778396,1.61546317416093,0.368260078013965,0,8.55101072941246,"yes","yes","no","yes","no"
"GCAM 5.3","R_MAC_60_n8","Final_Energy_Transportation","RC",1.01311762184121,1.13666927975105,0.374458799258024,0,7.27595255933323,"no","yes","no","yes","no"
"GCAM 5.3","R_MAC_65_n0","Final_Energy_Transportation","RC",1.08612491373235,1.79898375122747,0.365909614983409,0,7.41569925154454,"yes","yes","no","yes","no"
"GCAM 5.3","R_MAC_65_n8","Final_Energy_Transportation","RC",1.04941291142569,1.47095946258295,0.370174722321223,0,8.16307666200864,"no","yes","no","yes","no"
"GCAM 5.3","R_MAC_70_n0","Final_Energy_Transportation","RC",1.09979452832407,1.91859763023928,0.364456218082031,0,7.74207335804039,"yes","yes","no","yes","no"
"GCAM 5.3","R_MAC_70_n8","Final_Energy_Transportation","RC",1.07232030441697,1.67670462957201,0.367472007392479,0,7.08813916555073,"yes","yes","no","yes","no"
"GCAM 5.3","R_MAC_75_n0","Final_Energy_Transportation","RC",1.10926937296069,2.00060662069274,0.422647247656694,0,7.96895193707521,"yes","yes","no","yes","no"
"GCAM 5.3","R_MAC_75_n8","Final_Energy_Transportation","RC",1.0879663604991,1.81518118307452,0.365711485620171,0,7.45964704840574,"yes","yes","no","yes","no"
"GCAM 5.3","R_MAC_80_n0","Final_Energy_Transportation","RC",1.11618506608906,2.05994884218411,0.421786168224977,0,8.1349958938954,"yes","yes","no","yes","no"
"GCAM 5.3","R_MAC_80_n8","Final_Energy_Transportation","RC",1.0991232938049,1.9127578075094,0.364526506696721,0,7.72602927670558,"yes","yes","no","yes","no"
"GCAM 5.3","R_MAC_85_n0","Final_Energy_Transportation","RC",1.1215006004392,2.10525789503535,0.421139202565235,0,8.26286414208167,"yes","yes","no","yes","no"
"GCAM 5.3","R_MAC_85_n8","Final_Energy_Transportation","RC",1.10735065089767,1.9840642029249,0.422890266936596,0,7.92295136051079,"yes","yes","no","yes","no"
"GCAM 5.3","R_MAC_90_n0","Final_Energy_Transportation","RC",1.12573148775747,2.14113585696928,0.4206330449511,0,8.36478754618355,"yes","yes","no","yes","no"
"GCAM 5.3","R_MAC_90_n8","Final_Energy_Transportation","RC",1.11363784482403,2.03814326835807,0.422100630864356,0,8.07379406800938,"yes","yes","no","yes","no"
"GCAM 5.3","R_MAC_95_n0","Final_Energy_Transportation","RC",1.12920188856167,2.17044472271285,0.420223256643093,0,8.4484817118709,"yes","yes","no","yes","no"
"GCAM 5.3","R_MAC_95_n8","Final_Energy_Transportation","RC",1.11861018221339,2.08065340945213,0.421489406346076,0,8.19330793200783,"yes","yes","no","yes","no"
"GCAM 5.3","R_MAC_99_n0","Final_Energy_Transportation","RC",1.13211975553777,2.1950017708522,0.419882337329331,0,8.51891063057792,"yes","yes","no","yes","no"
"GCAM 5.3","R_MAC_99_n8","Final_Energy_Transportation","RC",1.12266509774893,2.11514891844287,0.420999177229868,0,8.29090561764193,"yes","yes","no","yes","no"
"GCAM 5.3","SSP1-DACCS-1p9-3pctHR","Final_Energy_Transportation","RC",0.759611300892154,-1.87276490344099,0.362202286448977,0,3.62136804007976,"no","no","no","yes","no"
