model,scenario,primary_energy_change,renewables_vs_fossil,Renewables,CDR,Demand,Other,IMP_count
AIM/CGE 2.2,EN_INDCi2030_1600f,73.30719999999997,-353.7679,False,True,False,False,1
AIM/CGE 2.2,EN_INDCi2030_1800,74.02589999999998,-358.0852,False,True,False,False,1
AIM/CGE 2.2,EN_INDCi2030_1800f,74.02589999999998,-358.0852,False,True,False,False,1
AIM/CGE 2.2,EN_INDCi2030_800f,3.1363999999999805,-91.99940000000001,False,True,False,False,1
AIM/CGE 2.2,EN_INDCi2030_900f,10.87360000000001,-177.48119999999997,False,True,False,False,1
AIM/CGE 2.2,EN_INDCi2100,97.94190000000003,-382.1762,False,True,False,False,1
AIM/CGE 2.2,EN_NPi2020_1000,39.92640000000006,-246.21640000000002,False,True,False,False,1
AIM/CGE 2.2,EN_NPi2020_1000f,56.46870000000001,-295.6294,False,True,False,False,1
AIM/CGE 2.2,EN_NPi2020_1200,55.897699999999986,-292.9551,False,True,False,False,1
AIM/CGE 2.2,EN_NPi2020_1200f,61.09559999999999,-308.78380000000004,False,True,False,False,1
AIM/CGE 2.2,EN_NPi2020_1400,62.07190000000003,-312.5166,False,True,False,False,1
AIM/CGE 2.2,EN_NPi2020_1400f,63.350400000000036,-317.26529999999997,False,True,False,False,1
AIM/CGE 2.2,EN_NPi2020_1600,64.95950000000005,-324.7835,False,True,False,False,1
AIM/CGE 2.2,EN_NPi2020_1600f,64.95950000000005,-324.7835,False,True,False,False,1
AIM/CGE 2.2,EN_NPi2020_1800,66.42510000000004,-330.53770000000003,False,True,False,False,1
AIM/CGE 2.2,EN_NPi2020_1800f,66.42510000000004,-330.53770000000003,False,True,False,False,1
AIM/CGE 2.2,EN_NPi2020_300f,0.26509999999996126,-27.262900000000002,False,True,False,False,1
AIM/CGE 2.2,EN_NPi2020_400f,-4.6971999999999525,-71.7142,False,False,True,False,1
AIM/CGE 2.2,EN_NPi2020_500f,3.744000000000028,-128.22969999999998,False,True,False,False,1
AIM/CGE 2.2,EN_NPi2020_600,6.505499999999984,24.683100000000024,True,False,False,False,1
AIM/CGE 2.2,EN_NPi2020_600f,20.83159999999998,-188.542,False,True,False,False,1
AIM/CGE 2.2,EN_NPi2020_700,-1.6911999999999807,-44.17869999999999,False,False,True,False,1
AIM/CGE 2.2,EN_NPi2020_700f,36.339200000000005,-235.30470000000003,False,True,False,False,1
AIM/CGE 2.2,EN_NPi2020_800,-2.130700000000047,-102.51240000000004,False,False,True,False,1
AIM/CGE 2.2,EN_NPi2020_800f,50.34019999999998,-274.29609999999997,False,True,False,False,1
AIM/CGE 2.2,EN_NPi2020_900,20.83159999999998,-188.542,False,True,False,False,1
AIM/CGE 2.2,EN_NPi2020_900f,53.77009999999996,-286.4361,False,True,False,False,1
AIM/CGE 2.2,EN_NPi2100,213.08169999999996,-618.4066,False,True,False,False,1
AIM/Hub-Global 2.0,1.5C,-21.907500000000027,-7.147000000000048,False,False,True,False,1
AIM/Hub-Global 2.0,2.5C,106.95640000000014,-369.22580000000005,False,True,False,False,1
AIM/Hub-Global 2.0,2C,35.739500000000135,-248.4936,False,True,False,False,1
AIM/Hub-Global 2.0,450ppmCancunP,80.12609999999995,-127.8286,False,True,False,False,1
AIM/Hub-Global 2.0,450ppmRCP,108.08910000000003,-138.5179000000001,False,True,False,False,1
AIM/Hub-Global 2.0,450ppmeINDC,82.87739999999997,-167.10199999999992,False,True,False,False,1
AIM/Hub-Global 2.0,Baseline,170.03559999999993,-514.1088,False,True,False,False,1
AIM/Hub-Global 2.0,INDCSamePrice,200.35860000000014,-438.60419999999993,False,True,False,False,1
AIM/Hub-Global 2.0,WB2C,11.367500000000064,-172.44770000000003,False,True,False,False,1
BET EMF33,EMF33_1.5C_cost100,-161.93394861401498,-40.63102604605817,False,False,True,False,1
BET EMF33,EMF33_1.5C_full,-159.179493959046,-41.0583864107717,False,False,True,False,1
BET EMF33,EMF33_1.5C_nofuel,-159.87136253189198,-44.45184632563431,False,False,True,False,1
BET EMF33,EMF33_Baseline,221.95866904261402,-678.1966825747775,False,True,False,False,1
BET EMF33,EMF33_Med2C_cost100,-37.576685932095074,-223.40257918626372,False,False,True,False,1
BET EMF33,EMF33_Med2C_full,-30.081278045031922,-230.82418678276431,False,False,True,False,1
BET EMF33,EMF33_Med2C_limbio,-17.364519537208935,-239.33585993688507,False,False,True,False,1
BET EMF33,EMF33_Med2C_nofuel,-31.223173985645985,-229.5090090771044,False,False,True,False,1
BET EMF33,EMF33_WB2C_cost100,-90.93837981372792,-148.43066675422622,False,False,True,False,1
BET EMF33,EMF33_WB2C_full,-83.67773728871293,-155.30278922439578,False,False,True,False,1
BET EMF33,EMF33_WB2C_limbio,-165.8739778178969,-43.37460811736,False,False,True,False,1
BET EMF33,EMF33_WB2C_nofuel,-83.30052611045602,-156.11682280267644,False,False,True,False,1
BET EMF33,EMF33_tax_hi_full,-72.518553933367,-256.84502848446533,False,False,True,False,1
BET EMF33,EMF33_tax_hi_none,-58.83019428271098,-275.0856222603633,False,False,True,False,1
BET EMF33,EMF33_tax_lo_full,50.74304975656298,-413.28199524278483,False,True,False,False,1
BET EMF33,EMF33_tax_lo_none,52.08698969160605,-415.3465251145812,False,True,False,False,1
C3IAM 1.0,SSP1_5.0,239.45046445421502,-433.1782098900303,False,True,False,False,1
C3IAM 1.0,SSP1_BAU,271.2446104385041,-541.792964171445,False,True,False,False,1
C3IAM 1.0,SSP1_NDC,281.415178235286,-539.2075938886226,False,True,False,False,1
C3IAM 1.0,SSP2_5.0,85.43021168291398,-436.78500271096794,False,True,False,False,1
C3IAM 1.0,SSP2_BAU,203.91193698280892,-636.8533831265719,False,True,False,False,1
C3IAM 1.0,SSP2_NDC,208.85931119221897,-610.9690137721734,False,True,False,False,1
C3IAM 1.0,SSP3_5.5,102.33494230701598,-560.0242783048329,False,True,False,False,1
C3IAM 1.0,SSP3_BAU,201.144599984588,-723.258188211148,False,True,False,False,1
C3IAM 1.0,SSP3_NDC,182.09718996904496,-651.549692269036,False,True,False,False,1
C3IAM 2.0,2C-hybrid,-186.88456301302642,-116.13363510273923,False,False,True,False,1
C3IAM 2.0,2C-normal,-229.77781555159612,-64.36503532951434,False,False,True,False,1
C3IAM 2.0,2C-with BECCS,-243.6796732839027,-79.8060161939047,False,False,True,False,1
C3IAM 2.0,2C-with CCS,-186.8152154395492,-116.07096461986845,False,False,True,False,1
C3IAM 2.0,SSP2 BAU,163.49038089759074,-594.3669421420772,False,True,False,False,1
COFFEE 1.1,CO_2Deg2020,100.18874288284849,-127.89329703680812,False,True,False,False,1
COFFEE 1.1,CO_2Deg2030,102.37876972675065,-120.53411507587066,False,True,False,False,1
COFFEE 1.1,CO_BAU,336.1987688697967,-456.66444987078853,False,True,False,False,1
COFFEE 1.1,CO_Bridge,38.17300226560167,-76.06366330526299,False,True,False,False,1
COFFEE 1.1,CO_CurPol,107.47899765028308,-455.3214074822164,False,True,False,False,1
COFFEE 1.1,CO_GPP,41.31972360735904,-185.48902015823666,False,True,False,False,1
COFFEE 1.1,CO_NDCplus,94.71082740614213,-405.14973859837283,False,True,False,False,1
COFFEE 1.1,EN_INDCi2030_1000,103.51630420516892,-92.75921405173472,False,True,False,False,1
COFFEE 1.1,EN_INDCi2030_1000_COV_NDCp,81.78403416439289,-99.27965870765883,False,True,False,False,1
COFFEE 1.1,EN_INDCi2030_1000_NDCp,101.65911569762045,-76.89170336053832,False,True,False,False,1
COFFEE 1.1,EN_INDCi2030_1000f,87.38730619795513,-260.99400290822916,False,True,False,False,1
COFFEE 1.1,EN_INDCi2030_1000f_COV_NDCp,63.38407050633032,-256.7969113505445,False,True,False,False,1
COFFEE 1.1,EN_INDCi2030_1000f_NDCp,81.88093014398737,-240.78958068243773,False,True,False,False,1
COFFEE 1.1,EN_INDCi2030_1200,95.4820944546052,-175.12394457445802,False,True,False,False,1
COFFEE 1.1,EN_INDCi2030_1200f,90.52838431544319,-299.7323408854047,False,True,False,False,1
COFFEE 1.1,EN_INDCi2030_1400,87.1234994234743,-278.9282192186097,False,True,False,False,1
COFFEE 1.1,EN_INDCi2030_1400f,92.01864449110747,-326.2163965302975,False,True,False,False,1
COFFEE 1.1,EN_INDCi2030_1600,90.60814175429027,-319.5038214211961,False,True,False,False,1
COFFEE 1.1,EN_INDCi2030_1600f,92.25338802647354,-349.18062832875387,False,True,False,False,1
COFFEE 1.1,EN_INDCi2030_1800,92.00559113240979,-353.61528677000103,False,True,False,False,1
COFFEE 1.1,EN_INDCi2030_1800f,92.2421631549521,-368.7360258122343,False,True,False,False,1
COFFEE 1.1,EN_INDCi2030_2000,92.87255883998944,-377.90236694713735,False,True,False,False,1
COFFEE 1.1,EN_INDCi2030_2000f,94.34319577241956,-383.89217475496673,False,True,False,False,1
COFFEE 1.1,EN_INDCi2030_2500,97.60799322801336,-403.4466540885895,False,True,False,False,1
COFFEE 1.1,EN_INDCi2030_2500f,97.60799322801336,-403.4466540885895,False,True,False,False,1
COFFEE 1.1,EN_INDCi2030_400f,106.60491544730962,-41.94438098565843,False,True,False,False,1
COFFEE 1.1,EN_INDCi2030_500,86.23369567731766,256.39779856691337,True,False,False,False,1
COFFEE 1.1,EN_INDCi2030_500f,105.60078772046097,-70.28646203559072,False,True,False,False,1
COFFEE 1.1,EN_INDCi2030_600,86.8317938727887,242.37456918487663,True,False,False,False,1
COFFEE 1.1,EN_INDCi2030_600_COV_NDCp,212.49410723696724,105.05378233403701,True,False,False,False,1
COFFEE 1.1,EN_INDCi2030_600_NDCp,89.83023907868699,261.9838220167579,True,False,False,False,1
COFFEE 1.1,EN_INDCi2030_600f,102.83549257421407,-113.13144330169013,False,True,False,False,1
COFFEE 1.1,EN_INDCi2030_600f_COV_NDCp,77.02313743954869,-139.52589152077252,False,True,False,False,1
COFFEE 1.1,EN_INDCi2030_600f_NDCp,99.48790342416078,-99.8853954154817,False,True,False,False,1
COFFEE 1.1,EN_INDCi2030_700,93.48308789897578,171.5049850670638,True,False,False,False,1
COFFEE 1.1,EN_INDCi2030_700f,96.10069487922476,-160.9743180624689,False,True,False,False,1
COFFEE 1.1,EN_INDCi2030_800,100.38436496062116,79.36513155549943,True,False,False,False,1
COFFEE 1.1,EN_INDCi2030_800f,87.46088732201588,-209.00849918425,False,True,False,False,1
COFFEE 1.1,EN_INDCi2030_900,106.79772141137869,-15.23584223940236,False,True,False,False,1
COFFEE 1.1,EN_INDCi2030_900f,85.92688012714223,-241.18028793269175,False,True,False,False,1
